GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0261596	16579.9400664631	-1.04358662048739	0.101504410478936	-10.2811948324546	8.56590154740365e-25	1.80740522650217e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36807114889496	0.133508902655713	10.2470406218744	1.22022382323765e-24	2.51337054638784e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12237979562018	0.211621258877156	10.0291426621378	1.13497792996554e-23	2.28341722607719e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83167310263397	0.182678217062919	-10.0267734822652	1.1625350618243e-23	2.28570245905501e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.24228084458874	0.124338838270571	-9.99109258110839	1.66733712723402e-23	3.20536299726699e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14431181109192	0.119479461626396	-9.57747712883158	9.94443298358987e-22	1.87020195089209e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0050147	970.712398694494	-0.93895982155191	0.0981798970416243	-9.5636667978357	1.13656852216517e-21	2.09201155005338e-19	chr2R	20606880	20618217	-	protein_coding	Hil
FBgn0038149	1018.14231283321	1.00595741820742	0.105229359932306	9.5596648963232	1.18138602184952e-21	2.12920218229588e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87437640513901	0.199330629148706	9.40335367998398	5.28510737647922e-21	9.33091100284117e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29011220940109	0.137642948341	-9.37288996603688	7.05731836261899e-21	1.22105722310034e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.8158326623614	0.194370016607102	9.34214388648176	9.4402902455735e-21	1.60133237087169e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.2524219667122	0.13417450578782	-9.33427672685257	1.0168310676138e-20	1.69165491652443e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54813757083222	0.166448188223485	-9.30101785640094	1.39107525805107e-20	2.27060227498109e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0003137	4514.48884653499	0.864673912897539	0.0934196473573447	9.25580364899074	2.12624799632843e-20	3.40632804004393e-18	chr3R	28520664	28540324	-	protein_coding	Ppn
FBgn0261584	177.84495299026	-1.70329563724252	0.185453892177981	-9.18446961257551	4.13560294086929e-20	6.50492746208369e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20994275847243	0.131924821445935	9.17145647961548	4.66670487476184e-20	7.20922569135083e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.30853897751673	0.142853798256615	-9.15998729810554	5.19034262771048e-20	7.87748317058305e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78566025776961	0.195022212922886	-9.15618908742299	5.37624110986145e-20	8.01894169679507e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0039464	829.742718107917	0.993502112603185	0.10894397220042	9.11938579562237	7.5551281151251e-20	1.10778666650758e-17	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0040271	1095.87445796674	0.908968038442034	0.100192347698171	9.07223015853761	1.16605476654954e-19	1.68125663090335e-17	chr3R	16310541	16339575	-	protein_coding	Sulf1
FBgn0051523	4689.99565752754	-0.754901762567523	0.0848558408512186	-8.89628521731491	5.77470590420464e-19	8.18966897988104e-17	chr3R	4465420	4479207	-	protein_coding	CG31523
FBgn0033367	15104.0088463228	1.25373226576293	0.141245217445185	8.8762811827557	6.91329419655174e-19	9.64627549909179e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66092913088615	0.188185979281818	-8.82599828757073	1.08487687667493e-18	1.48972537462141e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64804400421648	0.188265382426683	-8.75383452323361	2.0622340673738e-18	2.78756045575792e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.018099038824	0.117363277183012	-8.67476661576529	4.14399465029339e-18	5.51533811072124e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20366613190918	0.13924287548593	-8.64436422839318	5.41057072685504e-18	7.09194656939741e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0261800	37071.3338157107	-0.72741102104081	0.0841737284774259	-8.64178211181283	5.5342897839944e-18	7.14584192855755e-16	chr2L	7811437	7820771	+	protein_coding	LanB1
FBgn0265276	151.2594530435	1.53520578044744	0.177871100482496	8.63100175510817	6.08169507834269e-18	7.7371682533445e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0001258	1507.25670392075	0.857386051899754	0.0997881528740792	8.59206255658098	8.5421857280541e-18	1.07099201062893e-15	chr3L	6259104	6262694	-	protein_coding	Ldh
FBgn0030237	1966.72530106885	-0.895737281030543	0.104482249285694	-8.57310487814303	1.0073169125538e-17	1.24489980150042e-15	chrX	10842204	10842995	+	protein_coding	CG15209
FBgn0262057	726.434535497277	-0.933892592314701	0.10964240788475	-8.51762206186095	1.62862665894305e-17	1.98440129950934e-15	chr3L	20317189	20320116	+	protein_coding	Spn77Ba
FBgn0031449	951.991001671026	-0.842199833340072	0.0999260642669713	-8.42822980688979	3.50933366968421e-17	4.2165618856164e-15	chr2L	2725673	2739830	+	protein_coding	CG31689
FBgn0063498	325.89377303059	-1.22029709133621	0.145016359548706	-8.41489260338487	3.93255032556564e-17	4.66034148855731e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07962351322666	0.129087001027327	-8.36353393164747	6.08670113007757e-17	7.11568263193257e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.5152638651361	0.181528568266846	-8.347247376009	6.98722718760463e-17	8.05953365332902e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.07742629179584	0.129112793014126	8.34484536073787	7.13071280790706e-17	8.11681532910579e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.10540627203241	0.132817306272095	8.32275780211824	8.59399367547509e-17	9.65540769955e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55660171252941	0.188547065910222	8.25577266352475	1.50922655494133e-16	1.67388704189711e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80867124503601	0.219768405381229	-8.22989656724558	1.87375165670066e-16	2.05187665596422e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0037239	762.656540125849	-0.862554076456049	0.104957103252687	-8.2181581781981	2.06652288514672e-16	2.23468618492553e-14	chr3R	4378599	4381210	+	protein_coding	Sfxn1-3
FBgn0039479	172.821357539012	1.29487694823172	0.158343738832049	8.17763277400665	2.89474385959135e-16	3.09165791720059e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0051038	694.926931057245	-0.9151952829739	0.112300866570438	-8.14949439771121	3.65448962730409e-16	3.85548655680582e-14	chr3R	29877058	29903231	+	protein_coding	CG31038
FBgn0263232	301.536196788606	1.16272451577038	0.143169363014856	8.12132212706519	4.61132290368357e-16	4.80633186021284e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43571983299696	0.17758145919908	8.08485209814292	6.22396822145135e-16	6.4099463194971e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0031805	3023.09177383706	-0.869189655153272	0.107637300082583	-8.07517147388868	6.73818879408661e-16	6.85789073619333e-14	chr2L	6367881	6370190	+	protein_coding	Nepl4
FBgn0024491	870.622745651466	0.974294812719047	0.121431692072187	8.02339814337645	1.02859280328911e-15	1.03469259782024e-13	chr3R	16186155	16189564	-	protein_coding	Bin1
FBgn0034885	161.413779412121	1.33897671578603	0.169470258029281	7.90095401610045	2.76776755729162e-15	2.75217898139423e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0052521	2940.91502601438	-0.809010228086329	0.102634840959209	-7.88241322854352	3.21118003179516e-15	3.15680891534772e-13	chrX	21205309	21281171	-	protein_coding	CG32521
FBgn0034389	114.90357820749	-1.53727060250087	0.196525223347799	-7.82225597464553	5.18849677297608e-15	5.04333545876585e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963000709975	0.138183880197709	7.74062796304	9.89269801308851e-15	9.5090811679143e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0027580	1308.41741012392	-0.872643954654829	0.114409754892638	-7.62735621165974	2.39616828919003e-14	2.27793976591021e-12	chr2R	9850702	9861543	-	protein_coding	PCB
FBgn0051195	919.475457472842	0.76754837575133	0.1011484744452	7.58833368433224	3.24045546269749e-14	3.04708480519521e-12	chr3R	20757268	20762369	-	protein_coding	CG31195
FBgn0032598	320.345350065653	0.997869728512296	0.131942610734605	7.56290725912234	3.941586418303e-14	3.66652302201497e-12	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0051337	946.506556433139	-0.937334558988584	0.124683928308659	-7.51768549245722	5.57544247013696e-14	5.13118646905902e-12	chr3R	13543965	13545400	-	protein_coding	CG31337
FBgn0050069	1308.74586897614	-0.836193128650304	0.113323978535267	-7.37878372660627	1.59742070651567e-13	1.45466174021758e-11	chr2R	14185203	14198368	+	protein_coding	CG30069
FBgn0013763	28071.918814862	-0.665293598416527	0.0903019082790164	-7.367436758489	1.73939902692872e-13	1.56745218562087e-11	chr2R	16691021	16693751	+	protein_coding	Idgf6
FBgn0034638	1759.16815971935	-0.861714482748231	0.117182071567748	-7.35363755922371	1.92884306436589e-13	1.72024962369374e-11	chr2R	21605675	21608125	-	protein_coding	CG10433
FBgn0261560	1799.02232933725	-0.844429286539195	0.115572447546338	-7.30649306531845	2.74204646545175e-13	2.42055550741052e-11	chr2L	3478433	3479612	+	protein_coding	Thor
FBgn0023549	188.177773216398	-1.27280363004161	0.175008561706918	-7.2728077851022	3.52091157922109e-13	3.07670768402441e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0040398	4097.27860492211	-0.784542527644275	0.10857007941619	-7.22613939183766	4.96917709485144e-13	4.29883510475598e-11	chrX	1051524	1052631	+	protein_coding	CG14629
FBgn0036299	643.197204702289	0.825387051307307	0.114339502025022	7.21873925187007	5.24717557084381e-13	4.4503250846441e-11	chr3L	12530435	12533724	-	protein_coding	Tsf2
FBgn0036373	3781.40411583282	-0.957549548095799	0.132645554251782	-7.21885896211959	5.24255922444323e-13	4.4503250846441e-11	chr3L	13486796	13502492	+	protein_coding	Tgi
FBgn0004369	784.03180300416	-0.801622671583718	0.111327354811228	-7.20059030364089	5.99524359132901e-13	5.03542255423178e-11	chr3R	29377645	29487131	+	protein_coding	Ptp99A
FBgn0036684	975.889794975767	-0.797585881483408	0.111038656581424	-7.18295687320877	6.82196252851056e-13	5.67469209943701e-11	chr3L	16994716	17012565	-	protein_coding	CG3764
FBgn0040388	1476.68610889789	-0.930534326406644	0.129905392938207	-7.16316932930781	7.88328744890398e-13	6.49507806861603e-11	chrX	2444166	2470043	-	protein_coding	boi
FBgn0051431	2335.62727795675	-0.697371086726978	0.097521922686034	-7.15091609680546	8.62006690926783e-13	6.96936437682953e-11	chr3R	21870680	21873640	+	protein_coding	CG31431
FBgn0022160	1304.2754155394	-0.877844063952851	0.122742477023479	-7.15191745547819	8.5574024938854e-13	6.96936437682953e-11	chr2R	15857751	15862755	-	protein_coding	Gpo1
FBgn0261284	51.4229233597556	1.55027915092309	0.217822837975072	7.11715615008423	1.10176642788881e-12	8.82535311820939e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0035968	288.554844580581	0.988562177581059	0.13916228853397	7.10366427568303	1.21491780238118e-12	9.64243477834821e-11	chr3L	9203064	9208853	-	protein_coding	Slc45-1
FBgn0052625	150.210306514425	1.28951068202496	0.18168043473145	7.09768602178346	1.26862989187683e-12	9.97719744966041e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.1995548516263	0.169253971395636	7.08730697268133	1.36746837514591e-12	1.06576296517002e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0037683	1454.77595585556	-0.818573780641591	0.115567601690416	-7.08307318546245	1.40992165598433e-12	1.08903859338576e-10	chr3R	9363304	9364838	+	protein_coding	CG18473
FBgn0030805	335.781015861799	0.902340348137996	0.127959825312128	7.05174726471332	1.76684909635867e-12	1.35265588784061e-10	chrX	16938243	16940873	-	protein_coding	wus
FBgn0031359	657.531575565407	-0.811311655073913	0.115095569568343	-7.04902593659058	1.8017456901439e-12	1.36727210223113e-10	chr2L	1716243	1724388	-	protein_coding	Rim2
FBgn0050463	43.1612480103141	1.58320078423284	0.224794332911672	7.04288566231304	1.88298742001323e-12	1.41649775395952e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0028514	567.337262289506	-0.917614582198607	0.130391863276651	-7.03736076116738	1.95915146225925e-12	1.46108787069007e-10	chr2L	15923394	15926287	+	protein_coding	CG4793
FBgn0004396	2390.58517297746	0.998789668643124	0.142059521137317	7.03078301719516	2.05377680284998e-12	1.51856607875685e-10	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0053516	706.839090739559	-0.803328014695965	0.114530715549438	-7.01408360929344	2.31460958805749e-12	1.69692267341402e-10	chr2L	2058789	2109878	-	protein_coding	dpr3
FBgn0000567	253.932072621603	-1.08652845520361	0.155092673731967	-7.00567234453227	2.45802550091077e-12	1.7869225721327e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40502198833389	0.200895845260329	6.99378320399409	2.67570926647182e-12	1.92896340535398e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384478995801	0.218684463953004	6.96823524823184	3.20941250722885e-12	2.29459732231709e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0005593	33109.9137230787	-0.652797576533948	0.0940395590561814	-6.94173370319561	3.87316817817665e-12	2.74645720568904e-10	chr2L	10201003	10202321	+	protein_coding	RpL7
FBgn0032956	2852.49745246596	0.610229401375581	0.0879759292104545	6.93632231966316	4.02438840291486e-12	2.83048651005012e-10	chr2L	21658734	21663698	+	protein_coding	Cul2
FBgn0003502	1187.71003997491	0.681985460639904	0.0988415111848897	6.89978787722301	5.20802471973096e-12	3.6334372459994e-10	chr2L	8258372	8301079	-	protein_coding	Btk29A
FBgn0031374	2043.03737760421	-0.758961142841876	0.110265517813807	-6.88303250090794	5.85916527139916e-12	4.05501110102993e-10	chr2L	1884621	1944289	+	protein_coding	Wdr62
FBgn0039714	2283.44380986059	-0.64413119637573	0.0937203826885391	-6.87290403536199	6.29078880959202e-12	4.31917571363338e-10	chr3R	29863700	29868895	-	protein_coding	Zip99C
FBgn0043364	1143.9544715076	-1.00802550082413	0.146693930663358	-6.87162376974824	6.34751834117741e-12	4.32380954090754e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0033426	365.363842027755	-0.924032893249302	0.1346259241015	-6.86370696740871	6.70961959915558e-12	4.53475930877304e-10	chr2R	9577426	9581847	+	protein_coding	CG1814
FBgn0028990	1327.84635438278	-0.719333832227416	0.105308398374404	-6.83073566146132	8.44802750266426e-12	5.66541751360841e-10	chr2L	6671064	6673347	-	protein_coding	Spn27A
FBgn0027515	443.036119142957	0.823285042581051	0.121638148877737	6.76831282107528	1.30292809292425e-11	8.6042984212883e-10	chr2L	7821150	7825350	+	protein_coding	CG7115
FBgn0004893	469.445955374178	-0.80780041612379	0.11933607885853	-6.76912149159363	1.29566710276554e-11	8.6042984212883e-10	chr2L	3771699	3784121	+	protein_coding	bowl
FBgn0037646	40.5200264626335	-1.55347358540958	0.229794816509253	-6.76026382582494	1.37740689062203e-11	9.02723258391757e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14232820526764	0.169066492895015	6.75668008312557	1.4118946582499e-11	9.18368472821045e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0086365	3431.42386097618	-0.555106453707025	0.0821856505616282	-6.75429895503194	1.43527534334808e-11	9.2660947726151e-10	chr3R	24273028	24275728	+	protein_coding	Orct2
FBgn0028327	4062.11618448947	0.5983276839043	0.0887159190031372	6.74431027291891	1.537556571462e-11	9.85289029608722e-10	chrX	9551139	9553750	-	protein_coding	l(1)G0320
FBgn0261238	905.950750098098	0.695647185359448	0.103182881647826	6.74188561367926	1.56344151894973e-11	9.9001145206879e-10	chr3R	7094595	7124185	-	protein_coding	Alh
FBgn0031703	88.7187395957919	-1.38802109819591	0.205892639157065	-6.74147994740624	1.56781376642497e-11	9.9001145206879e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0038476	1330.67950794971	0.653477971055066	0.0971717862890684	6.72497641559339	1.75620885710991e-11	1.1009393349897e-09	chr3R	17080243	17084781	+	protein_coding	kuk
FBgn0086450	5554.41812549471	-0.550942288169535	0.0821895089875112	-6.70331645676642	2.03741565476988e-11	1.26803473592908e-09	chrX	9196807	9201820	-	protein_coding	su(r)
FBgn0015371	368.773642351112	-0.922084313994529	0.137596724994555	-6.70135364072813	2.06497617615987e-11	1.2760077785685e-09	chr2R	15115235	15144783	+	protein_coding	chn
FBgn0003076	1514.58528761402	0.653334111027051	0.0975343730709555	6.69850115868132	2.10568054698855e-11	1.28283397267591e-09	chr3L	16126017	16128531	-	protein_coding	Pgm1
FBgn0259749	1379.07500882567	-0.665603193149829	0.099363141995286	-6.69869309468301	2.10291718039191e-11	1.28283397267591e-09	chr2L	6468537	6473904	-	protein_coding	mmy
FBgn0033065	29.7436358354011	1.55540099301192	0.233144633521716	6.67139950646575	2.5337543139289e-11	1.5328327671188e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0039113	470.40127509901	0.815700403153344	0.122371371741811	6.66577804549233	2.63266876687151e-11	1.58161232654204e-09	chr3R	23760736	23763263	-	protein_coding	udt
FBgn0029801	1239.94294175484	-0.758164533198286	0.114219208143831	-6.63780239347804	3.18394304787219e-11	1.8996062970443e-09	chrX	5755573	5759751	+	protein_coding	CG15771
FBgn0043841	14976.7171075126	-0.652504939620149	0.098472563781688	-6.62626131139168	3.44295468473468e-11	2.04006856011231e-09	chr2L	12403269	12423439	-	protein_coding	vir-1
FBgn0024984	117.679403305754	1.16854208073596	0.176685300460769	6.6136915617121	3.74852370324763e-11	2.20601894944185e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0037680	433.787671171497	0.793888527771428	0.120083548127402	6.61113483196845	3.81384911810656e-11	2.22929788653648e-09	chr3R	9335169	9337459	+	protein_coding	pasi2
FBgn0266064	3270.44102679478	0.555426554359773	0.0840667120314753	6.60697368718092	3.92255724813198e-11	2.24293845987527e-09	chr3R	15141842	15147531	-	protein_coding	GlyS
FBgn0001124	1253.86350990139	0.604562403504164	0.0915131279480279	6.6062915459245	3.94066481138656e-11	2.24293845987527e-09	chr2R	16138351	16141928	+	protein_coding	Got1
FBgn0040752	5094.89338433851	-0.80051956602989	0.121175488448928	-6.60628297254431	3.94089291297007e-11	2.24293845987527e-09	chr2R	14060455	14140902	-	protein_coding	Prosap
FBgn0028542	1161.57183491519	-0.933719192054497	0.141277873851415	-6.60909714026777	3.86670944163165e-11	2.24293845987527e-09	chr2L	13968279	13969976	-	protein_coding	NimB4
FBgn0038805	745.126082058377	0.698221104098636	0.10614243059733	6.57815258393188	4.76329294110165e-11	2.69328413290656e-09	chr3R	20575244	20577010	-	protein_coding	TFAM
FBgn0004507	1809.71057208628	0.821285510727825	0.125472280062287	6.545553410842	5.92754682784162e-11	3.32981867582194e-09	chr2L	2130812	2137296	+	protein_coding	GlyP
FBgn0036824	3111.34213085921	-0.608765799301203	0.0930748225486088	-6.54060660694004	6.12698035675276e-11	3.41964561717859e-09	chr3L	18893119	18898293	-	protein_coding	CG3902
FBgn0035150	2608.90160916783	0.543836810611746	0.0833651637686451	6.52354995812161	6.86625275530101e-11	3.80768926834032e-09	chr3L	654362	657971	+	protein_coding	Rev1
